COPPER,PLATE,DIST,WORMS
control     ,200,4,11.50
control     ,200,3,13.00
control     ,200,2,13.50
control     ,200,1,12.00
control     ,39,4,17.75
control     ,39,3,13.75
control     ,39,2,12.75
control     ,39,1,12.50
control     ,34,4,11.50
control     ,34,3,10.50
control     ,34,2,12.00
control     ,34,1,10.50
control     ,36,4,12.00
control     ,36,3,12.00
control     ,36,2,11.25
control     ,36,1,10.00
control     ,179,4,15.00
control     ,179,3,12.75
control     ,179,2,10.50
control     ,179,1, 9.25
Week 2      ,204,4, 8.75
Week 2      ,204,3, 3.00
Week 2      ,204,2, 1.00
Week 2      ,204,1, 0.00
Week 2      ,57,4, 6.50
Week 2      ,57,3, 3.50
Week 2      ,57,2, 2.00
Week 2      ,57,1, 0.00
Week 2      ,16,4, 8.00
Week 2      ,16,3, 3.75
Week 2      ,16,2, 0.50
Week 2      ,16,1, 0.00
Week 2      ,181,4, 8.75
Week 2      ,181,3, 6.00
Week 2      ,181,2, 0.75
Week 2      ,181,1, 0.25
Week 2      ,63,4, 7.25
Week 2      ,63,3, 3.75
Week 2      ,63,2, 3.00
Week 2      ,63,1, 1.00
Week 1      ,178,4, 9.50
Week 1      ,178,3, 8.25
Week 1      ,178,2, 7.75
Week 1      ,178,1, 7.50
Week 1      ,61,4, 9.25
Week 1      ,61,3, 7.00
Week 1      ,61,2, 6.50
Week 1      ,61,1, 6.50
Week 1      ,21,4,12.50
Week 1      ,21,3,10.75
Week 1      ,21,2, 7.00
Week 1      ,21,1, 6.75
Week 1      ,199,4, 8.25
Week 1      ,199,3, 7.50
Week 1      ,199,2,10.50
Week 1      ,199,1, 9.25
Week 1      ,12,4,10.50
Week 1      ,12,3, 9.00
Week 1      ,12,2,10.00
Week 1      ,12,1, 6.25
