BLOCK,PREDATION,SYMBIONT
1,0,none
1,1,none
2,1,none
2,1,none
3,1,none
3,1,none
4,1,none
4,1,none
5,1,none
5,1,none
6,1,none
6,1,none
7,1,none
7,1,none
8,1,none
8,1,none
9,1,none
9,1,none
10,1,none
10,0,none
1,0,shrimp
1,0,shrimp
2,0,shrimp
2,0,shrimp
3,0,shrimp
3,0,shrimp
4,0,shrimp
4,0,shrimp
5,0,shrimp
5,1,shrimp
6,1,shrimp
6,1,shrimp
7,1,shrimp
7,1,shrimp
8,1,shrimp
8,1,shrimp
9,1,shrimp
9,1,shrimp
10,1,shrimp
10,1,shrimp
1,0,crabs
1,0,crabs
2,0,crabs
2,0,crabs
3,0,crabs
3,0,crabs
4,0,crabs
4,0,crabs
5,1,crabs
5,1,crabs
6,1,crabs
6,1,crabs
7,1,crabs
7,1,crabs
8,1,crabs
8,1,crabs
9,1,crabs
9,1,crabs
10,1,crabs
10,1,crabs
1,0,both
1,0,both
2,0,both
2,0,both
3,0,both
3,0,both
4,0,both
4,0,both
5,0,both
5,0,both
6,0,both
6,1,both
7,1,both
7,1,both
8,1,both
8,1,both
9,1,both
9,1,both
10,1,both
10,1,both
